"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
299/23,"MONOLITH POLSKA Spółka z ograniczoną odpowiedzialnością",60-312,Poznań,"ul. Grunwaldzka 67","WOJ. WIELKOPOLSKIE",2024-10-31
300/23,"Whisky Embassy Spółka z ograniczoną odpowiedzialnością",61-131,Poznań,"ul. Katowicka 79A/101","WOJ. WIELKOPOLSKIE",2024-11-01
301/23,"JERONIMO MARTINS POLSKA  Spółka Akcyjna",62-025,Kostrzyn,"ul. Żniwna 5 ","WOJ. WIELKOPOLSKIE",2024-11-15
302/23,"Przedsiębiorstwo Handlowo - Usługowe   ""MARCO""   Spółka z ograniczoną odpowiedzialnością",04-443,Warszawa,"ul. Ignacego Paderewskiego 108 A ","WOJ. MAZOWIECKIE",2024-12-05
303/23,"""SCAWAR""    Spółka z ograniczoną odpowiedzialnością",02-231,Warszawa,"ul. Jutrzenki  137 ","WOJ. MAZOWIECKIE",2024-11-01
304/23,"SECRET SPIRITS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",00-789,Warszawa,"ul. Słoneczna 50/12","WOJ. MAZOWIECKIE",2024-10-31
305/23,"Przedsiębiorstwo Handlowo-Usługowe  GIG  ANDRZEJ GRZYWA",32-061," Czernichów, Przegina Duchowna","ul. Strażaków 5","WOJ. MAŁOPOLSKIE",2024-11-14
306/23,"KK POLSKA Spółka z ograniczoną odpowiedzialnością",84-230,Rumia,"ul. Działkowców 15/lok. DOK 50-51","WOJ. POMORSKIE",2024-11-30
307/23,"PASIEKA JAROS Spółka z ograniczoną odpowiedzialnością",97-200,"Tomaszów Mazowiecki","Łazisko 46","WOJ. ŁÓDZKIE",2024-12-09
308/23,"ORLEN  Spółka Akcyjna",09-411,"Płock-Biała, Płock","ul. Chemików 7","WOJ. MAZOWIECKIE",2024-12-02
309/23,"Grażyna Rupik PROFI",42-605,"Tarnowskie Góry","ul. Parkowa 34","WOJ. ŚLĄSKIE",2024-11-14
310/23,"POLMOS BIELSKO-BIAŁA   SPÓŁKA AKCYJNA",43-316,Bielsko-Biała,"ul. Karpacka 11 ","WOJ. ŚLĄSKIE",2024-11-20
311/23,"DIAGEO  POLSKA   Spółka  z  ograniczoną odpowiedzialnością",01-208,Warszawa,"ul. Przyokopowa 31 ","WOJ. MAZOWIECKIE",2024-12-31
312/23,"OL PIW PAWEŁ OLSZEWSKI SPÓŁKA JAWNA",26-050,ZAGNAŃSK,"KIELECKA 3/18","WOJ. ŚWIĘTOKRZYSKIE",2024-11-21
313/23,"MAGA Martyna Gąsiorowska",34-500,Zakopane,"ul. Podhalańska 42","WOJ. MAŁOPOLSKIE",2024-11-30
314/23,"Kraftowe Alkohole Spółka z ograniczoną odpowiedzialnością",43-346,Bielsko-Biała,"ul. Bestwińska 143","WOJ. ŚLĄSKIE",2024-12-29
315/23,"KTW IMPORT AND DISTRIBUTION Spółka z ograniczoną odpowiedzialnością",02-285,Warszawa,"ul. Szyszkowa 35/37/lok. A-1-011B","WOJ. MAZOWIECKIE",2024-11-25
316/23,"PRZEDSIĘBIORSTWO HANDLOWE   ""GALICJA"" MTM Ścianek  Spółka Jawna",33-300,"Nowy Sącz","UL. Zawiszy Czarnego 35 ","WOJ. MAŁOPOLSKIE",2024-12-08
317/23,"TANO DYSTRYBUCJA   Spółka z ograniczoną odpowiedzialnością",05-270,Marki,"ul. Okółna 45A","WOJ. MAZOWIECKIE",2024-11-23
318/23,"NORTH COAST  Spółka Akcyjna",02-486,Warszawa,"Aleje Jerozolimskie 180","WOJ. MAZOWIECKIE",2024-11-24
319/23,"Przedsiębiorstwo Przemysłu Spirytusowego  ""POLMOS"" w Warszawie  Spółka Akcyjna",00-006,Warszawa,"ul. Szkolna   2/4 ","WOJ. MAZOWIECKIE",2024-12-31
320/23,"Hurtownia Artykułów Spożywczych i Przemysłowych   Warszawska Wytwórnia Wódek   Koneser  Jarosław Nowociel",05-660,Warka,"Grzegorzewice   17 ","WOJ. MAZOWIECKIE",2024-12-31
321/23,"LOGIMP  Spółka z ograniczoną odpowiedzialnością",97-200,"Tomaszów Mazowiecki","ul. Główna 71 ","WOJ. ŁÓDZKIE",2024-12-31
322/23,"BAR MANAGEMENT CO Spółka z ograniczoną odpowiedzialnością",00-841,Warszawa,"ul. Żelazna 51/53","WOJ. MAZOWIECKIE",2024-11-20
323/23,"ARHELAN  Spółka z ograniczoną odpowiedzialnością ",17-100,"Bielsk Podlaski","Aleja Józefa Piłsudskiego 45","WOJ. PODLASKIE",2025-01-14
324/23,"MATEUS  Spółka z ograniczoną odpowiedzialnością",05-091,Ząbki,"ul. Kazimierza Przerwy -Tetmajera 3 ","WOJ. MAZOWIECKIE",2024-12-04
325/23,"SUNRISE IMPORT & EXPORT Spółka z ograniczoną odpowiedizalnością",03-228,Warszawa,"ul. Marywilska 34D","WOJ. MAZOWIECKIE",2024-11-30
326/23,"HWS POLSKA   Spółka z ograniczoną odpowiedzialnością",00-728,Warszawa,"ul. Józefa Piusa Dziekońskiego 3","WOJ. MAZOWIECKIE",2025-01-03
327/23,"Wokawit Dystrybucja  Ewa i Waldemar Woźniak  Spółka Jawna",64-810,Kaczory,"ul. Jasna 3 ","WOJ. WIELKOPOLSKIE",2024-11-24
328/23,"Kujawianka Inter Spółka z ograniczoną odpowiedzialnością",85-758,Bydgoszcz,"ul. Przemysłowa 22","WOJ. KUJAWSKO-POMORSKIE",2024-11-15
329/23,"BRICK HOUSE Spółka z ograniczoną odpowiedzialnością",66-004,"Zielona Góra","ul. Racula-Głogowska 85","WOJ. LUBUSKIE",2024-11-30
330/23,"ROSIEK & ROSIEK Spółka Komandytowa  Krzysztof i Przemysław Rosiek",56-500,Syców,"ul. Kaliska   7 ","WOJ. DOLNOŚLĄSKIE",2024-12-31
331/23,"Przedsiębiorstwo Wielobranżowe MAX  Piotr Pajdosz",39-432,Gorzyce,"Motycze Poduchowne 95","WOJ. PODKARPACKIE",2024-12-09
332/23,"JONSTON DISTILLERY Spółka z ograniczoną odpowiedzialnością",64-100,Leszno,"ul. Geodetów 1","WOJ. WIELKOPOLSKIE",2024-12-04
333/23,"HENKELL FREIXENET POLSKA Spółka z ograniczoną odpowiedzialnością",87-100,Toruń,"ul. Mazowiecka 48","WOJ. KUJAWSKO-POMORSKIE",2024-12-31
334/23,"FIRMA MARCINIAK ŁUKASZ MARCINIAK",05-100,"NOWY DWÓR MAZOWIECKI","ul. Towarowa 1","WOJ. MAZOWIECKIE",2025-01-25
335/23,"""BAKOMA""  Spółka z ograniczoną odpowiedzialnością",01-303,Warszawa,"ul. Połczyńska 97 A ","WOJ. MAZOWIECKIE",2024-12-31
336/23,"ALMA-ALPINEX  Spółka z ograniczoną odpowiedzialnością",26-065,Piekoszów,"ul. Czarnowska 54F","WOJ. ŚWIĘTOKRZYSKIE",2024-12-09
337/23,"Firma Wielobranżowa   ""SUŻYW""  Spółka z ograniczoną odpowiedzialnością",34-200,"Sucha  Beskidzka","ul. Nad Skawą   4 ","WOJ. MAŁOPOLSKIE",2024-12-17
338/23,"Dariusz Frączek PR CONSULTANTS",54-142,Wrocław,"ul. Dokerska 48","WOJ. DOLNOŚLĄSKIE",2024-11-30
339/23,"Dom Handlowy EDEN II Kaczyńscy  Spółka Jawna",18-300,Zambrów,"ul. Magazynowa  8 ","WOJ. PODLASKIE",2024-12-31
340/23,"MARCO 2 Spółka Cywilna Marek Paska, Zdzisław Stachacz, Bartłomiej Paska",02-220,Warszawa,"ul. Łopuszańska 36","WOJ. MAZOWIECKIE",2025-01-01
